gameId,name,won,kills,damageDealt,damageTaken,roundsSurvived,timesStuck,reward,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
1764924564,Reaper_1,1,10,562,10,1123,1,3910.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924565,Reaper_1,1,6,639,0,1145,0,3294,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924565,Reaper_1,1,8,452,11,1073,1,3249.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924566,Reaper_1,1,3,389,0,1196,1,2232.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924567,Reaper_1,1,5,333,7,1102,998,944.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924568,Reaper_1,1,6,317,36,1662,1,3525.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924569,Reaper_1,1,2,162,0,1096,0,2000.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924570,Reaper_1,1,5,624,27,1229,0,3104.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924570,Reaper_1,1,10,583,80,1254,3,4483.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924571,Reaper_1,1,2,333,94,1311,0,1920.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924571,Reaper_1,1,3,256,34,1117,0,1871.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924571,Reaper_1,1,3,171,6,1151,0,1756.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924572,Reaper_1,1,3,238,48,1172,1,1863.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924573,Reaper_1,1,8,367,76,1107,1,3041.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924573,Reaper_1,1,9,508,28,140,0,3300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924574,Reaper_1,1,6,449,70,1113,1,3316.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924574,Reaper_1,1,5,475,91,1134,2,3162.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924590,Reaper_1,1,4,308,35,1145,0,2697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1764924591,Reaper_1,1,11,694,19,321,1,4223.8,0.772031,1.13988,0.924954,0.814021,1.02434,0.498989,1.10712,0.952256,0.969759,0.950773,1.07316,1.01439,0.789359,0.948753,1.35161,0.805575,1.13682,0,0.68346
1764924591,Reaper_1,1,5,399,7,445,0,2547,0.863065,1.0572,0.74781,1.35251,1.00328,0.660284,0.861517,0.934783,0.994321,1.22271,0.983033,0.787272,0.936843,1.09397,1.18634,0.942477,0.840888,0,0.830855
1764924591,Reaper_1,1,3,297,72,1203,1,1982.4,1.00074,0.745385,0.958114,1.21774,0.948716,1.23227,1.51904,1.00878,1.36029,0.831628,0.792716,0.913304,0.992517,0.900636,0.773698,1.01821,0.97384,0,0.808059
1764924591,Reaper_1,1,7,266,9,1166,0,3255.8,0.976329,0.665849,0.636824,1.12324,1.0068,0.891945,0.974974,1.17164,0.697535,1.19679,1.3616,0.87226,1.15943,0.830117,0.841932,0.855783,1.34875,0,0.68917
1764924591,Reaper_1,0,0,31,98,13,1,-27.6,1.0745,1.08613,0.772543,0.793309,1.26266,1.01785,1.27795,1.35753,0.83389,1.06478,0.8902,0.726377,0.857224,1.04578,1.06633,1.08665,0.891574,0,1.24475
1764924591,Reaper_1,1,5,268,10,1163,0,2356.4,0.781588,0.997876,0.994304,0.839048,1.20545,1.40384,0.870037,0.898254,0.911428,1.12231,0.820955,1.10928,0.901897,0.904527,1.03875,0.779041,1.35553,0,1.05464
1764924591,Reaper_1,1,3,364,91,1085,1,2003,0.941762,1.3027,1.44539,0.774233,0.905371,1.27985,0.842451,1.07757,0.976294,1.11453,1.07882,1.07937,1.12935,0.95745,1.14794,1.27854,1.0117,0,0.980778
1764924591,Reaper_1,0,5,230,100,47,0,897.6,1.19591,0.980171,0.763836,1.02926,0.916931,1.13648,0.803216,1.30165,1.66023,0.759223,0.914054,0.793242,0.866577,1.03248,1.05114,1.06779,0.90976,0,1.13181
1764924591,Reaper_1,1,6,266,36,1154,0,3019.2,0.917439,1.21691,1.06447,1.26386,0.618756,0.906084,0.779059,0.979825,1.01269,1.09135,1.10905,0.932196,0.513713,0.951934,1.15775,1.35381,0.865259,0,0.74493
1764924591,Reaper_1,1,5,382,16,1233,2,3130.4,0.961903,1.28798,0.890084,1.26625,1.21488,1.43816,1.06218,1.15519,0.830415,0.972874,1.11872,1.09842,0.621841,1.35864,0.90439,0.885466,0.914518,0,1.23191
1764924591,Reaper_1,1,5,425,28,1098,1,3098.4,1.11669,0.56734,0.984839,1.00228,0.997543,1.09265,1.01436,0.907832,1.21007,0.670029,1.54796,0.71319,1.45898,1.39314,1.11521,0.933854,1.22716,0,0.908524
