gameId,name,weapon,won,shotsFired,shotsHit,kills,damageDealt,damageTaken,causeOfDeath,roundsSurvived,deathRow,deathCol,timesStuck
1764984114,Reaper_1,S,0,2,4,0,68,98,railgun from Rat_7,3,17,9,0
1764984114,Reaper_1,S,1,22,30,10,487,43,alive,259,-1,-1,0
1764984114,Reaper_1,S,1,31,37,9,612,10,alive,319,-1,-1,0
1764984114,Reaper_1,S,0,3,4,0,69,98,railgun from Rat_3,4,13,1,0
1764984114,Reaper_1,S,1,22,22,4,358,35,alive,377,-1,-1,0
1764984114,Reaper_1,S,1,20,26,5,431,24,alive,357,-1,-1,0
1764984114,Reaper_1,S,1,23,23,4,370,36,alive,393,-1,-1,0
1764984114,Reaper_1,S,1,31,31,7,523,89,alive,370,-1,-1,0
1764984114,Reaper_1,S,1,27,28,11,451,15,alive,516,-1,-1,0
1764984114,Reaper_1,S,1,30,34,7,566,14,alive,222,-1,-1,0
1764984114,Reaper_1,S,1,26,27,7,412,3,alive,462,-1,-1,0
1764984115,Reaper_1,S,1,32,35,7,578,73,alive,282,-1,-1,0
1764984115,Reaper_1,S,0,19,37,5,630,100,flame,42,13,4,0
1764984115,Reaper_1,S,1,15,16,5,244,35,alive,375,-1,-1,0
1764984115,Reaper_1,S,1,29,35,8,585,82,alive,312,-1,-1,0
1764984115,Reaper_1,S,1,23,28,3,474,5,alive,305,-1,-1,0
1764984115,Reaper_1,S,1,30,33,11,517,34,alive,240,-1,-1,0
1764984115,Reaper_1,S,1,34,34,5,578,9,alive,449,-1,-1,0
1764984115,Reaper_1,S,0,4,12,1,203,100,railgun from Rat_5,5,11,0,0
1764984115,Reaper_1,S,0,26,30,7,478,100,railgun from Rat_1,111,14,6,0
1764984115,Reaper_1,S,1,21,21,6,363,54,alive,523,-1,-1,0
1764984115,Reaper_1,S,0,5,8,2,139,99,collision with Hammer_8,11,7,0,0
1764984115,Reaper_1,S,1,19,20,6,334,54,alive,425,-1,-1,0
1764984115,Reaper_1,S,1,15,19,7,273,68,alive,299,-1,-1,0
1764984115,Reaper_1,S,1,20,20,6,342,42,alive,276,-1,-1,0
1764984115,Reaper_1,S,1,11,17,2,290,0,alive,272,-1,-1,0
1764984115,Reaper_1,S,0,3,3,0,51,100,railgun from Rat_7,9,14,4,0
1764984115,Reaper_1,S,0,5,9,0,146,97,collision with Rat_6,13,19,12,0
1764984115,Reaper_1,S,1,36,36,7,574,36,alive,421,-1,-1,0
1764984115,Reaper_1,S,1,24,28,7,472,5,alive,209,-1,-1,0
1764984115,Reaper_1,S,0,10,15,3,239,98,collision with Rat_1,41,19,13,0
1764984115,Reaper_1,S,1,24,36,7,603,32,alive,263,-1,-1,0
1764984115,Reaper_1,S,1,35,39,8,640,22,alive,925,-1,-1,0
1764984115,Reaper_1,S,1,21,25,4,440,33,alive,401,-1,-1,0
1764984115,Reaper_1,S,1,29,31,7,513,10,alive,379,-1,-1,0
1764984115,Reaper_1,S,1,20,23,7,341,20,alive,550,-1,-1,0
1764984115,Reaper_1,S,1,31,32,6,550,0,alive,460,-1,-1,0
1764984115,Reaper_1,S,1,21,24,4,393,14,alive,277,-1,-1,0
1764984115,Reaper_1,S,0,7,7,1,107,97,railgun from Rat_3,19,15,10,0
1764984115,Reaper_1,S,1,27,28,8,473,30,alive,163,-1,-1,0
1764984115,Reaper_1,S,1,16,17,3,279,6,alive,385,-1,-1,0
1764984115,Reaper_1,S,1,21,26,6,405,74,alive,168,-1,-1,0
1764984115,Reaper_1,S,1,14,15,2,262,35,alive,312,-1,-1,0
1764984115,Reaper_1,S,1,13,15,3,244,6,alive,387,-1,-1,0
1764984115,Reaper_1,S,1,17,18,5,271,54,alive,292,-1,-1,0
1764984115,Reaper_1,S,1,15,17,2,299,35,alive,465,-1,-1,0
1764984116,Reaper_1,S,1,25,26,5,462,66,alive,130,-1,-1,0
1764984116,Reaper_1,S,1,21,23,5,399,21,alive,336,-1,-1,0
1764984116,Reaper_1,S,1,15,16,4,270,70,alive,274,-1,-1,0
1764984116,Reaper_1,S,1,23,24,5,390,0,alive,408,-1,-1,0
1764984116,Reaper_1,S,1,24,29,7,487,6,alive,314,-1,-1,0
1764984116,Reaper_1,S,1,30,35,9,553,36,alive,633,-1,-1,0
1764984116,Reaper_1,S,1,18,19,4,314,60,alive,271,-1,-1,0
1764984116,Reaper_1,S,0,3,7,0,126,98,collision with Rat_1,5,0,11,0
1764984116,Reaper_1,S,1,38,43,12,718,86,alive,409,-1,-1,0
1764984116,Reaper_1,S,1,29,35,7,553,31,alive,329,-1,-1,0
1764984116,Reaper_1,S,1,39,39,10,656,32,alive,355,-1,-1,0
1764984116,Reaper_1,S,1,14,17,6,255,0,alive,416,-1,-1,0
1764984116,Reaper_1,S,0,5,9,0,160,98,railgun from Rat_2,10,5,5,0
1764984116,Reaper_1,S,0,7,10,1,171,100,railgun from Rat_5,19,11,8,0
1764984116,Reaper_1,S,1,23,24,4,430,19,alive,365,-1,-1,0
1764984116,Reaper_1,S,1,19,20,7,322,10,alive,317,-1,-1,0
1764984116,Reaper_1,S,1,23,25,6,413,54,alive,377,-1,-1,0
1764984116,Reaper_1,S,1,21,21,3,363,54,alive,369,-1,-1,0
1764984116,Reaper_1,S,1,21,23,6,386,30,alive,400,-1,-1,0
1764984116,Reaper_1,S,1,28,37,9,585,27,alive,404,-1,-1,0
1764984116,Reaper_1,S,1,15,15,3,247,60,alive,347,-1,-1,0
